GRB,z,N_H,N_H_err,Sample,120
000301C,2.03,21.20,0.50,Chen et al. (2007),
000926,2.04,21.30,0.25,Fynbo et al. (2002),
011211,2.14,20.40,0.20,Vreeswijk et al. (2006),
020124,3.20,21.70,0.40,Hjorth et al. (2003b),
021004,2.33,19.00,0.50,"Fynbo et al. (2005), Møller et al. (2002)",
030226,1.99,20.50,0.30,Shin et al. (2006),
030323,3.37,21.90,0.07,Vreeswijk et al. (2004),
030429,2.65,21.60,0.20,Jakobsson et al. (2004),
050319,3.24,20.90,0.20,Fynbo et al. (2009),
050401,2.90,22.60,0.30,Fynbo et al. (2009),
050505,4.27,22.05,0.10,Berger et al. (2006),
050730,3.97,22.10,0.10,Fynbo et al. (2009),
050820A,2.61,21.10,0.10,Fynbo et al. (2009),
050904,6.29,21.60,0.20,Totani et al. (2006),
050908,3.34,17.60,0.10,Fynbo et al. (2009),
050922C,2.20,21.55,0.10,Fynbo et al. (2009),
060115,3.53,21.50,0.10,Fynbo et al. (2009),
060124,2.30,18.50,0.50,Fynbo et al. (2009),
060206,4.05,20.85,0.10,Fynbo et al. (2009),
060210,3.91,21.55,0.15,Fynbo et al. (2009),
060223A,4.41,21.60,0.10,Chen et al. (2007),
060510B,4.94,21.30,0.10,Chen et al. (2007),
060522,5.11,21.00,0.30,Chen et al. (2007),
060526,3.21,20.00,0.15,Fynbo et al. (2009),
060605,3.77,18.90,0.40,Ferrero et al. (2009),
060607A,3.08,16.95,0.03,Fynbo et al. (2009),
060707,3.43,21.00,0.20,Fynbo et al. (2009),
060714,2.71,21.80,0.10,Fynbo et al. (2009),
060906,3.69,21.85,0.10,Fynbo et al. (2009),
060926,3.21,22.60,0.15,Fynbo et al. (2009),
060927,5.47,22.50,0.15,Fynbo et al. (2009),
061110B,3.44,22.35,0.10,Fynbo et al. (2009),
070110,2.35,21.70,0.10,Fynbo et al. (2009),
070411,2.95,19.30,0.30,Fynbo et al. (2009),
070506,2.31,22.00,0.30,Fynbo et al. (2009),
070611,2.04,21.30,0.20,Fynbo et al. (2009),
070721B,3.63,21.50,0.20,Fynbo et al. (2009),
070802,2.45,21.50,0.20,Fynbo et al. (2009),
071020,2.15,20.00,0.20,Fynbo et al. (2009),
071031,2.69,22.15,0.05,Fynbo et al. (2009),
080129,4.35,21.1,0.3,This work,
080210,2.64,21.90,0.10,Fynbo et al. (2009),
080310,2.43,18.70,0.10,Fynbo et al. (2009),
080413A,2.43,21.85,0.15,Fynbo et al. (2009),
080603B,2.69,21.85,0.05,Fynbo et al. (2009),
080607,3.04,22.70,0.15,Fynbo et al. (2009),
080721,2.59,21.60,0.10,Fynbo et al. (2009),
080804,2.20,21.30,0.15,Fynbo et al. (2009),
