GRB,Observed,Afterglow,Trigger Time,BAT Fluence (15-150 keV) [10^-7 erg/cm^2],XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT Column Density (NH) [10^21 cm^-2],dt,acqmag,Redshift,Redshift_old,Ave_NH_PC,Ave_dNH_PC+,Ave_dNH_PC-,In pure sample,Comments,Observed,,,,,,,,
091018,Yes,Yes,2009:10:18T20:48:19,14,0.14420988,1.55551,3.5,R = 19.1,0.971,0.971,0.24,8.17E-2,7.85E-02,Yes,"Spectrum taken, z from Magellan",Yes,,Total:,158,Afterglows:,113,,,
091029,No,Yes,2009:10:29T03:53:22,24,0.16721793,2.82219,,,2.752,2.752,0.58,0.33,0.31,,"UT2 mirror coating, z from GS",No,,Observed:,91,Dark bursts:,45,,,
091109A,No,Yes,2009:11:09T04:57:43,16,0.025873236,7.86986,,,3.076,3.076,1.2,1.1,0.98,,Visitor rejected ToO :-(,No,,Redshifts:,96,Redshift completeness:,60.75949367,,,9
091208B,No,Yes,2009:12:08T09:49:57,33,0.110656,8.16791,,,1.063,1.063,1.2,0.29,0.26,Yes,Redshift from GN,No,,Redshifts of observed:,76,Redshift completeness of observed:,83.51648352,,,74
100205A,Yes,Yes,2010:02:05T04:18:43,4,0.00027673416,0.546237,71,>24,NaN,N/A,3.48E-2,5.73E-2,3.48E-02,,Late trigger (bad weather),Yes,,,,Redshift completeness in pure sample,84,,,
100219A,Yes,Yes,2010:02:19T15:15:46,3.7,0.14046975,0.00266081,12.5,23,4.667,4.6667,3.58E-6,1.5,3.58E-06,Yes,Redshift from X-shooter,Yes,,,,,125,,,
100316B,Yes,Yes,2010:03:16T08:01:36,2,0.013269003,2.58912,0.7,18.2,1.18,1.18,0.28,0.43,0.28,Yes,Redshift from X-shooter,Yes,,,,,,,,
100316D,Yes,Yes,2010:03:16T12:44:50,3,0.08340964,4.04846,10,21.5,0.059,0.059,0.51,1.4,0.51,Yes,Redshift of nearby galaxy,Yes,,,,,,,,
100413A,No,No,2010:04:13T17:33:28,62,0.11989782,2.79802,,,NaN,N/A,0.24,5.34E-2,5.02E-02,,"Bad weather, very dark",No,,,,,,,,
100418A,Yes,Yes,2010:04:18T21:10:08,3.4,0.0739878,0.00000416329,8.4,18.1,0.6235,0.6235,3.39E-6,0.12,3.39E-06,Yes,Redshift from XS,Yes,,,,,,,,
100424A,Yes,Yes,2010:04:24T16:32:42,15,0.0011673456,2.00385,25239.1,>24,2.465,2.465,3.3,1.7,1.4,Yes,"NIR afterglow, discovered late",Yes,,,,,,,,
100425A,Yes,Yes,2010:04:25T02:50:45,4.7,0.0435699,0.342503,4,20.6,1.755,1.755,1.61E-5,0.37,1.61E-05,Yes,Redshift and afterglow from XS,Yes,,,,,,,,
100513A,No,Yes,2010:05:13T02:07:08,14,0.02210393,11.2825,,,4.772,4.772,1.7,2.2,1.7,,"Bad weather, RRM and ToO rejected",No,,,,,,,,
100526A,No,Yes,2010:05:26T16:26:10,25,0.03225888,1.66401,,,NaN,N/A,0.13,4.98E-2,4.56E-02,,"Bad weather, X-shooter offline",No,,,,,,,,
100606A,No,No,2010:06:06T19:12:41,64,0.0029858928,1.84641,,,NaN,N/A,0.22,6.57E-2,5.92E-02,,Visitor rejected ToO,No,,,,,,,,
