#GRB betaOX
080928  1.00
080916B <0.90
080916A 0.69
080913  <0.48
080905B 0.64
080810  0.96
080805  0.40
080804  0.78
080727A <0.76
080721  0.60
080710  1.04
080707  0.83
080703  0.42
080613B <0.79
080607  0.24
080605  0.38
080604  0.90
080603B 0.92
080602  <0.28
080523  0.71
080520  0.77
080430  0.77
080413B 0.89
080330  0.99
080325  <0.79
080320  <0.15
080319C 0.31
080319B 0.67
080319A 0.49
080310  0.88
080307  0.40
080212  0.66
080210  0.74
080207  <0.43
080205  0.79
071122  0.83
071117  0.58
071112C 0.72
071031  0.97
071025  0.50
071021  nan
071020  0.56
070808  <0.48
070802  0.49
070721B 0.72
070621  <0.53
070611  0.73
070521  <-0.06
070520B <0.88
070518  0.81
070506  0.93
070419B 0.25
070419A 0.94
070412  <0.17
070330  0.68
070328  <0.31
070318  0.78
070306  <0.23
070224  0.92
070223  nan
070219  <0.38
070208  0.68
070129  0.62
070110  0.77
070103  <0.48
061222A <0.22
061121  0.64
061110B 0.55
061110A 0.99
061102  <0.91
061021  0.75
061007  0.79
061004  <0.47
061002  <0.93
060929  <0.67
060927  0.55
060923C <0.31
060923B <0.68
060923A <0.11
060919  <1.02
060912A 0.62
060908  0.38
060904A <0.52
060814  <-0.06
060807  0.54
060805A <1.07
060729  0.80
060719  <-0.13
060714  0.77
060712  <0.96
060708  1.04
060707  0.73
060614  0.79
060607A 0.53
060605  1.00
060604  0.75
060526  1.03
060522  0.74
060512  0.98
060502A 0.65
060428B 1.00
060427  <0.81
060323  0.76
060319  <0.41
060306  <0.54
060219  <0.54
060218  nan
060210  0.37
060206  0.95
060204B 0.47
060202  <0.20
060124  0.80
060115  0.78
060111A 0.70
060108  0.51
051117B <1.06
051016B 0.63
051006  <1.30
051001  <0.56
050922C 0.99
050922B <0.58
050915A <0.44
050908  1.14
050904  <0.41
050824  0.91
050822  nan
050820A 0.77
050819  <0.90
050814  0.51
050803  <-0.15
050802  0.51
050801  0.95
050730  0.79
050726  <0.89
050716  <0.28
050714B <0.48
050525A 0.92
050505  0.53
050502B <0.58
050416A 0.70
050412  <0.60
050406  1.02
050401  0.36
050319  0.90
050318  0.75
050315  0.63
