GRB,T90,comments,RA,Dec,z,X,O,R,refs
180325A,94.01.00,Very luminous. reddened afterglow with 2175-A dust bump. Optical observations during main burst peak.,10:29:42.7,+24:27:49.3,02.04, , , ,
180324A,07.02,Possible very weak afterglow,05:06:06.37,+56:42:51.5,, , , ,
180316A,87,Bright early afterglow.,17:41:42.94,+00:44:54.0,, , , ,
180314B,73,Some follow-up. no deep limits.,19:51:32.80,+23:37:26.6,, , , ,
180314A,51.02.00,"Bright UV/optical afterglow, well-observed.",06:37:03.7,-24:29:45.8,1.445, , , ,
180311A,23,No ground follow-up.,00:13:33.05,-54:29:29.2,, , , ,
180305A,12.05,LAT burst with X-ray/optical afterglow.,03:18:28.33,+32:06:36.2,, , , ,
180224A,10.09,Bright early OT but little further follow-up.,13:30:44.057,+38:04:44.55,,y,y, ,
180210A,40,Fermi/LAT burst with afterglow.,00:07:22.02,+18:33:09.9,,y, , ,
180205A,15.05,"Bright burst, very bright afterglow. Extensive observations.",08:27:16.74,+11:32:30.9,1.409,y,y, ,
180204A,00.16,Short/hard burst. XRT afterglow.,22:00:31.99,+30:50:16.2,,y, , ,
180115A,40.09.00,Optical afterglow and redshift.,00:48:09.27,-15:37:49.9,2.487,y,y, ,
180113A,64,Low latitude. No optical afterglow early.,01:16:50.7,+68:40:55.9,, , , ,
180111A,50.06.00,Hard. Near a bright star. Possible bright host.,09:59:07.12,+48:16:02.7,,y,y, ,
180103A,237,Very long. bright. Swift slewed during burst. no early pointed data.,00:38:24.37,-53:33:21.6,,y, , ,
180102A,10.08,Moderately deep z-band limit.,13:32:16.07,+62:10:19.6,,y, , ,
171227A,28,No follow-up,19.24.00,-47:00:43,, , , ,
171222A,174.08.00,Long/multi-peaked. soft. Optical afterglow.,09:53:06.73,+35:37:35.5,2.409,y,y, ,
171216A,30,No ground follow-up. Crowded field.,14:07:57.77,-50:29:05.1,,y, , ,
171212A,320,Very long.,19:35:40.28,+20:35:31.3,,y, , ,
171211A,02.32,Intermediate duration/hardness. No deep follow-up.,06:32:32.26,-58:41:28.9,,y, , ,
171210A,143,LAT burst. XRT search but no afterglow detection.,22:21:09.60,+24:26:24.00,, , , ,
171209A,161.07.00,Optical afterglow. Nearby bright star.,09:17:36.65,-30:31:12.6,,y,y, ,
171205A,189.04.00,Very nearby. very bright mm/radio afterglow and supernova. Massive host.,11:09:39.52,-12:35:18.34,0.255555556,y,y,y,
171124A,26,Fermi/LAT burst.,22:21:54.24,+35:19:55.7,,y, , ,
