# Name			 z			  NH	    NH_std
# GRB050319       3.240       20.90        0.20
# GRB050401       2.899       22.60        0.30
# GRB050730       3.968       22.10        0.10
# GRB050820A      2.612       21.10        0.10
# GRB050908       3.344       17.60        0.10
# GRB050922C      2.198       21.55        0.10
# GRB060115       3.533       21.50        0.10
# GRB060124       2.30        18.5         0.5
# GRB060206       4.048       20.85        0.10
# GRB060210       3.913       21.55        0.15
# GRB060526       3.221       20.00        0.15
# GRB060607A      3.075       16.95        0.03
# GRB060707       3.425       21.00        0.20
# GRB060714       2.711       21.80        0.10
# GRB060906       3.686       21.85        0.10
# GRB060926       3.206       22.60        0.15
# GRB060927       5.464       22.50        0.15
# GRB061110B      3.433       22.35        0.10
# GRB070110       2.351       21.70        0.10
# GRB070411       2.954       19.30        0.30
# GRB070506       2.308       22.00        0.30
# GRB070611       2.041       21.30        0.20
# GRB070721B      3.628       21.50        0.20
# GRB070802       2.455       21.50        0.20
# GRB071020       2.145       20.30        -99
# GRB071031       2.692       22.15        0.05
# GRB080210       2.641       21.90        0.10
# GRB080310       2.427       18.70        0.10
# GRB080413A      2.433       21.85        0.15
# GRB080603B      2.690       21.85        0.05
# GRB080607       3.037       22.70        0.15
# GRB080721       2.591       21.60        0.10
# GRB080804       2.205       21.30        0.15
# #From Savaglio
# GRB090323       3.57        20.81       -99
# #From Antonio
# GRB081008       1.9685      21.59        0.10
# GRB090516       4.109       21.70        0.10
# GRB090812       2.452       22.30        0.10
# #From XSGB sample
# GRB090313       3.373       21.20        0.25
# GRB090809       2.737       21.40        0.08
# GRB090926       2.106       21.60        0.07
# GRB100219A      4.667       21.14        0.15
# GRB100425A      1.755       21.05        0.09
# GRB110128A      2.339       21.93        0.10
# GRB111008A      4.989       22.30        0.07
# GRB111107A      2.893       20.85        0.20
# GRB120327A      2.815       21.95        0.05
# GRB120712A      4.175       19.95        0.10
# GRB120716A      2.486       21.95        0.15
# GRB120815A      2.358       21.95        0.10
# GRB120909A      3.929       21.70        0.10
# GRB121024A      2.3         21.84        0.10
# GRB121027A      1.773       22.6         0.03
# GRB121229A      2.707       21.70        0.10
# GRB130408A      3.758       21.78        0.10
# GRB130427B      2.78        21.90        0.30
# GRB130606A      5.91        19.94        0.01
# GRB130612A      2.006       22.0         0.30
# GRB131117A      4.042       20.0		 -99
# GRB141028A      2.332       20.63        0.15
# GRB141109A      2.993       22.1         0.2
# GRB150403A      2.06        21.60        0.15
# GRB151021A      2.33        22.1         0.2
# GRB151027B      4.063       20.3         0.2
# GRB160203A      3.52        21.8         0.2
# GRB161014A      1.710 		21.5 		 0.5
# GRB161023A      2.710       20.95        0.05
# From Tanvir

GRB000301C         2.03       21.20        0.50
GRB000926          2.04       21.30        0.25
GRB011211          2.14       20.40        0.20
GRB020124          3.20       21.70        0.40
GRB021004          2.33       19.50        0.50
GRB030226          1.99       20.50        0.30
GRB030323          3.37       21.90        0.07
GRB030429          2.65       21.60        0.20
GRB050319          3.24       20.90        0.20
GRB050401          2.90       22.60        0.30
GRB050505          4.27       22.05        0.10
GRB050730          3.97       22.10        0.10
GRB050820A         2.61       21.10        0.10
GRB050904          6.29       21.60        0.00
GRB050908          3.34       17.60        0.10
GRB050922C         2.20       21.55        0.10
GRB060115          3.53       21.50        0.10
GRB060124          2.30       18.50        0.50
GRB060206          4.05       20.85        0.10
GRB060210          3.91       21.55        0.15
GRB060223A         4.41       21.60        0.10
GRB060510B         4.94       21.30        0.10
GRB060522          5.11       21.00        0.30
GRB060526          3.21       20.00        0.15
GRB060607A         3.08       16.95        0.03
GRB060707          3.43       21.00        0.20
GRB060714          2.71       21.80        0.10
GRB060906          3.69       21.85        0.10
GRB060926          3.21       22.60        0.15
GRB060927          5.47       22.50        0.15
GRB061110B         3.44       22.35        0.10
GRB070110          2.35       21.70        0.10
GRB070411          2.95       19.30        0.30
GRB070506          2.31       22.00        0.30
GRB070611          2.04       21.30        0.20
GRB070721B         3.63       21.50        0.20
GRB070802          2.45       21.50        0.20
GRB071020          2.15       20.00        0.20
GRB071031          2.69       22.15        0.05
GRB080210          2.64       21.90        0.10
GRB080310          2.43       18.70        0.10
GRB080413A         2.43       21.85        0.15
GRB080603B         2.69       21.85        0.05
GRB080607          3.04       22.70        0.15
GRB080721          2.59       21.60        0.10
GRB080804          2.20       21.30        0.15
GRB080913          6.69       19.84        0.00
GRB081008          1.96       21.59        0.10
GRB090205          4.64       20.73        0.05
GRB090313          3.38       21.20        0.25 # From X. Prochaska
GRB090426          2.61       19.10        0.15
GRB090516          4.11       21.73        0.02
GRB090809          2.74       21.40        0.08
GRB090926          2.11       21.60        0.07
GRB100219A         4.67       21.14        0.15
GRB100425A         1.75       21.05        0.09
GRB110128A         2.34       21.93        0.10
GRB110205A         2.21       21.45        0.20
GRB111008A         4.99       22.30        0.07
GRB111107A         2.89       20.85        0.20
GRB120119A         1.73       22.50        0.10
GRB120327A         2.81       21.95        0.05
GRB120712A         4.17       19.95        0.10
GRB120716A         2.49       21.95        0.15
GRB120815A         2.36       21.95        0.10
GRB120909A         3.93       21.70        0.10
GRB121024A         2.30       21.84        0.10
GRB121201A         3.38       21.70        0.20
GRB121229A         2.71       21.70        0.10
GRB130408A         3.76       21.78        0.10
GRB130427B         2.78       21.90        0.30
GRB130505A         2.27       20.65        0.10
GRB130606A         5.91       19.94        0.01
GRB130612A         2.01       22.00        0.30
GRB131011A         1.87       22.00        0.20
GRB131108A         2.40       21.00        0.10
GRB131117A         4.04       20.00        0.00
GRB140206A         2.73       21.50        0.20
GRB140226A         1.97       20.60        0.20
GRB140304A         5.28       21.60        0.00
GRB140311A         4.95       21.80        0.30
GRB140419A         3.96       19.30        0.20
GRB140423A         3.26       20.45        0.20
GRB140515A         6.32       18.62        0.08
GRB140518A         4.71       21.65        0.10
GRB140614A         4.23       21.50        0.30
GRB140808A         3.29       21.30        0.10
GRB141028A         2.33       20.63        0.15
GRB141109A         2.99       22.10        0.20
GRB150206A         2.09       21.70        0.30
GRB150403A         2.06       21.60        0.15
GRB150413A         3.14       22.10        0.20
GRB150915A         1.97       21.10        0.30
GRB151021A         2.33       22.10        0.20
GRB151027B         4.06       20.30        0.20
GRB151215A         2.59       21.50        0.30
GRB160203A         3.52       21.80        0.20
GRB160227A         2.38       22.40        0.20
GRB161014A         2.82       21.50        0.50
