#GRB	Redshift	Ave_NH_PC	Ave_dNH_PC+	Ave_dNH_PC-
171020A	1.87	0.17	+0.45	-0.17
171010B	N/A	5.35E-2	+0.29	-5.35E-2
171010A	N/A	N/A		
171010A	N/A	N/A		
171010A	N/A	0.29	+6.94E-2	-6.40E-2
171007A	N/A	1.25E-6	+0.11	-1.25E-6
171004A	N/A	7.39E-2	+2.58E-2	-2.42E-2
171001A	N/A	2.88E-2	+4.66E-2	-2.88E-2
170921A	N/A	1.0	+0.26	-0.23
170912B	N/A	2.3	+0.90	-0.80
170912A	N/A	1.30E-6	+0.23	-1.30E-6
170906C	N/A	0.91	+0.14	-0.13
170906B	N/A	0.58	+0.28	-0.22
170906A	N/A	0.33	+0.13	-0.11
170903A	N/A	0.53	+9.87E-2	-8.99E-2
170827A	N/A	N/A		
170822A	N/A	0.16	+4.27E-2	-4.06E-2
170813A	N/A	0.23	+0.18	-0.14
170810A	N/A	4.32E-2	+2.17E-2	-2.04E-2
170804A	N/A	1.77E-10	+2.29E-2	-1.77E-10
170803A	N/A	9.85E-2	+3.83E-2	-3.54E-2
170728B	N/A	0.21	+3.06E-2	-2.92E-2
170728A	N/A	4.03E-2	+0.11	-4.03E-2
170714A	N/A	8.10E-2	+1.44E-2	-1.40E-2
170711A	N/A	0.34	+0.13	-0.11
170710A	N/A	0.11	+0.13	-0.11
170705A	2.01	0.74	+0.13	-0.13
170629A	N/A	0.20	+0.79	-0.20
170626A	N/A	2.38E-2	+1.76E-2	-1.65E-2
170607A	N/A	3.61E-2	+1.67E-2	-1.60E-2
170604A	1.329	0.14	+0.12	-0.11
170531B	2.366	4.31E-15	+0.22	-4.31E-15
170531A	N/A	0.44	+0.77	-0.38
170526A	N/A	0.19	+0.23	-0.17
170524B	N/A	0.26	+0.43	-0.26
170524A	N/A	0.89	+3.3	-0.89
170519A	0.818	0.22	+6.07E-2	-5.74E-2
170516A	N/A	6.12E-2	+6.25E-2	-5.27E-2
170510A	N/A	5.66E-6	+0.14	-5.66E-6
170428A	N/A	0.32	+0.40	-0.26
170419A	N/A	0.13	+0.12	-9.71E-2
170405A	3.51	1.62E-9	+0.70	-1.62E-9
170331A	N/A	0.51	+0.17	-0.15
170330A	N/A	9.73E-2	+6.35E-2	-5.90E-2
170318B	N/A	4.8	+2.1	-1.7
170318A	N/A	0.19	+0.46	-0.19
170317A	N/A	3.43E-10	+2.75E-2	-3.43E-10
170311A	N/A	0.16	+0.18	-0.14
170306A	N/A	1.59E-2	+0.16	-1.59E-2
170214A	N/A	1.99E-8	+6.46E-2	-1.99E-8
170208B	N/A	0.34	+6.50E-2	-6.06E-2
170208A	N/A	0.33	+9.75E-2	-8.82E-2
170206B	N/A	0.18	+0.19	-0.15
170205A	N/A	0.16	+6.53E-2	-6.00E-2
170202A	3.645	0.52	+0.88	-0.52
170127B	N/A	1.55E-10	+4.23E-2	-1.55E-10
170127A	N/A	2.52E-2	+0.11	-2.52E-2
170126A	N/A	6.28E-2	+0.23	-6.28E-2
170115A	N/A	0.23	+0.32	-0.22
170113A	1.968	0.28	+0.17	-0.16
170111A	N/A	0.34	+9.02E-2	-8.09E-2
161224A	N/A	1.07E-6	+0.21	-1.07E-6
161220A	N/A	1.44E-5	+5.13E-2	-1.44E-5
161219B	0.1475	0.15	+1.98E-2	-1.93E-2
161217A	N/A	1.96E-2	+3.96E-2	-1.96E-2
161214B	N/A	4.16E-2	+3.99E-2	-3.63E-2
161202A	N/A	1.3	+0.20	-0.19
161129A	N/A	7.65E-2	+6.63E-2	-6.00E-2
161117B	N/A	0.46	+0.15	-0.13
161117A	1.549	0.75	+0.18	-0.17
161113A	N/A	9.73E-2	+6.16E-2	-5.36E-2
161108A	N/A	0.13	+5.99E-2	-5.30E-2
161105A	N/A	7.99E-9	+0.11	-7.99E-9
161104A	N/A	0.29	+0.76	-0.29
161023A	2.708	1.08E-14	+0.51	-1.08E-14
161022A	N/A	6.59E-14	+1.69E-2	-6.59E-14
161017A	2.013	0.16	+0.20	-0.16
161015A	N/A	4.31E-8	+0.45	-4.31E-8
161014A	2.823	1.5	+0.86	-0.78
161011A	N/A	8.01E-2	+4.08E-2	-3.73E-2
161010A	N/A	6.24E-2	+9.28E-2	-6.24E-2
161007A	N/A	0.40	+0.17	-0.15
161004B	N/A	0.75	+0.20	-0.18
161004A	N/A	3.41E-2	+8.49E-2	-3.41E-2
161001A	N/A	0.63	+0.11	-0.10
160927A	N/A	4.28E-3	+8.98E-2	-4.28E-3
160917A	N/A	0.11	+0.10	-8.61E-2
160912A	N/A	5.96E-2	+4.65E-2	-4.37E-2
160910A	N/A	0.13	+0.19	-0.13
160905A	N/A	0.17	+7.09E-2	-6.64E-2
160826A	N/A	0.46	+0.35	-0.28
160824A	N/A	0.39	+0.14	-0.13
160821B	N/A	2.06E-12	+2.25E-2	-2.06E-12
160816A	N/A	4.40E-2	+0.19	-4.40E-2
160815A	N/A	0.19	+6.61E-2	-5.98E-2
160804A	0.736	0.20	+0.10	-9.31E-2
160801A	N/A	0.67	+0.45	-0.32
160716A	N/A	1.6	+1.8	-1.3
160712A	N/A	0.23	+0.13	-0.11
160705B	N/A	6.89E-2	+4.65E-2	-4.07E-2
160703A	N/A	0.15	+0.39	-0.15
160630A	N/A	7.96E-2	+7.62E-2	-7.03E-2
160629A	N/A	6.83E-8	+0.21	-6.83E-8
160625B	1.406	8.97E-2	+0.33	-8.97E-2
160625A	N/A	1.2	+0.86	-0.70
160624A	N/A	0.25	+0.25	-0.19
160623A	0.367	1.2	+0.34	-0.32
160611A	N/A	0.31	+6.55E-2	-6.13E-2
160607A	N/A	0.17	+3.29E-2	-3.12E-2
160601A	N/A	0.11	+0.24	-0.11
160525B	N/A	5.73E-2	+6.77E-2	-5.55E-2
160521B	N/A	2.4	+2.2	-1.4
160509A	N/A	N/A		
160509A	1.17	2.7	+0.37	-0.35
160509A	N/A	N/A		
160506A	N/A	0.53	+0.17	-0.15
160504A	N/A	0.13	+4.17E-2	-3.82E-2
160501A	N/A	5.25E-7	+8.44E-2	-5.25E-7
160425A	0.555	1.1	+0.20	-0.18
160424A	N/A	N/A		
160422A	N/A	0.22	+0.12	-0.10
160417A	N/A	2.70E-7	+2.63E-2	-2.70E-7
160412A	N/A	0.23	+0.12	-9.85E-2
160411A	N/A	0.14	+0.23	-0.14
160410A	1.717	1.33E-12	+1.1	-1.33E-12
160408A	N/A	0.12	+0.14	-0.11
160327A	N/A	4.15E-2	+3.66E-2	-3.26E-2
160325A	N/A	4.82E-3	+0.11	-4.82E-3
160321A	N/A	0.21	+0.38	-0.21
160314A	0.726	7.91E-11	+9.23E-2	-7.91E-11
160313A	N/A	0.18	+0.15	-0.12
160303A	N/A	5.07E-2	+6.82E-2	-5.07E-2
160228A	N/A	9.09E-2	+0.14	-9.09E-2
160227A	2.38	0.26	+0.30	-0.26
160225A	N/A	5.15E-2	+2.96E-2	-2.70E-2
160223A	N/A	0.20	+1.8	-0.20
160221A	N/A	0.11	+0.47	-0.11
160220B	N/A	0.15	+0.12	-0.10
160220A	N/A	7.17E-6	+0.12	-7.17E-6
160216A	N/A	0.52	+0.12	-0.11
160203A	3.52	1.1	+2.4	-1.1
160131A	0.97	0.48	+9.03E-2	-8.63E-2
160127A	N/A	4.67E-2	+4.36E-2	-3.92E-2
160123A	N/A	0.14	+0.12	-9.93E-2
160121A	1.96	0.53	+2.1	-0.53
160119A	N/A	0.17	+3.02E-2	-2.87E-2
160117B	0.87	8.96E-2	+0.12	-8.96E-2
160117A	N/A	0.99	+0.65	-0.48
160104A	N/A	3.49E-8	+6.62E-2	-3.49E-8
160101A	N/A	2.91E-2	+0.22	-2.91E-2
151229A	N/A	0.70	+0.10	-9.59E-2
151228B	N/A	7.45E-9	+2.31E-2	-7.45E-9
151228A	N/A	N/A		
151215A	2.59	5.29E-7	+1.2	-5.29E-7
151212A	N/A	N/A		
151212A	N/A	8.67E-2	+0.12	-8.67E-2
151212A	N/A	N/A		
151210A	N/A	1.90E-7	+5.03E-2	-1.90E-7
151205A	N/A	0.72	+0.25	-0.21
151127A	N/A	7.68E-2	+0.22	-7.68E-2
151120A	N/A	0.18	+0.13	-0.11
151118A	N/A	0.65	+0.28	-0.24
