
# GRB            z       delay    mag          intervening
GRB090313     3.373     45      21.6        1.9597,1.8005
GRB090530     1.266     20      22          nan
GRB090809     2.737     10.2    21          nan
GRB090926     2.106     22      17.9        1.9466,1.7986,1.7483,1.2456
GRB091018     0.971     3.5     19.1        nan
GRB091127     0.49      101     21.2        nan
GRB100205A    nan       71      nan         nan
GRB100219A    4.667     12.5    23          2.181
GRB100316B    1.18      0.7     18.2        1.0636,0.743,0.7462,0.7477
GRB100316D    0.059     10      21.5        nan
GRB100316D    0.059     58      20.2        nan
GRB100316D    0.059     79      19.9        nan
GRB100316D    0.059     101     19.9        nan
GRB100418A    0.624     8.4     18.1        nan
GRB100418A    0.624     34      19.2        nan
GRB100418A    0.624     58      nan         nan
GRB100424A    2.465     nan     nan         nan
GRB100425A    1.755     4       20.6        nan
GRB100615A    1.398     nan     nan         nan
GRB100621A    0.542     7.1     nan         nan
GRB100625A    0.452     13      nan         nan
GRB100724A    1.288     0.2     nan         nan
GRB100728B    2.106     22      23          nan
GRB100814A    1.439     0.9     19          1.1579
GRB100814A    1.439     2.1     19          1.1579
GRB100814A    1.439     98      20          1.1579
GRB100816A    0.805     28.4    nan         nan
GRB100901A    1.408     66      nan         1.315,1.318
GRB101219A    0.718     3.7     nan         nan
GRB101219B    0.552     11.6    20          nan
GRB101219B    0.552     394     22.7        nan
GRB101219B    0.552     886     nan         nan
GRB110128A    2.339     5.5     22.5        nan
GRB110407A    nan       12.4    23          nan
GRB110709B    nan       nan     nan         nan
GRB110715A    0.82      12.3    18.5        nan
GRB110721A    0.382     nan     nan         nan
GRB110808A    1.348     3       21.2        nan
GRB110818A    3.36      6.2     22.3        nan
GRB111005A    0.013     nan     nan         nan
GRB111008A    4.989     8.5     21          4.6
GRB111008A    4.989     20.1    22          4.6
GRB111107A    2.893     5.3     21.5        1.998
GRB111117A    1.3       38      nan         nan
GRB111123A    3.151     12.2    >24         nan
GRB111123A    3.151     nan     nan         nan
GRB111129A    nan       nan     nan         nan
GRB111209A    0.677     17.7    20.1        nan
GRB111209A    0.677     497     23          nan
GRB111211A    0.478     31      19.5        nan
GRB111228A    0.716     15.9    20.1        nan
GRB120118B    2.943     nan     nan         nan
GRB120119A    1.728     1.4     17          1.4765,1.2145,0.6620,0.6323
GRB120119A    1.728     4.5     20          1.4765,1.2145,0.6620,0.6323
GRB120119A    1.728     nan     nan         1.4765,1.2145,0.6620,0.6323
GRB120211A    2.346     nan     nan         nan
GRB120211A    2.346     nan     nan         nan
GRB120224A    1.1       19.8    22.3        nan
GRB120311A    0.35      3.7     21.6        nan
GRB120327A    2.815     2.1     18.8        2.7566,2.18525,2.1832
GRB120327A    2.815     29      22.5        2.7566,2.18525,2.1832
GRB120404A    2.876     15.7    21.3        2.55
GRB120422A    0.283     16.5    22          nan
GRB120712A    4.175     10.4    21.5        3.9860,3.9760,3.3805,2.1030
GRB120714B    0.398     7.8     22.1        nan
GRB120716A    2.486     62      20.9        2.2263
GRB120722A    0.959     10.3    23.6        nan
GRB120805A    2.8       218     nan         nan
GRB120815A    2.358     1.69    18.9        2.3378,2.0122,1.9999,1.,1.6927,1.5398,1.5382
GRB120909A    3.929     1.7     21          nan
GRB120923A    nan       18.5    nan         nan
GRB121024A    2.3       1.8     20          2.0799,1.9564,1.9581,1.9238,1.6642
GRB121027A    1.773     69.4    21.15       nan
GRB121201A    3.385     12.9    23          nan
GRB121229A    2.707     2       21.5        1.658
GRB130131B    2.539     nan     nan         nan
GRB130408A    3.758     1.9     20          3.1154,3.0157,2.898,2.37734,2.37905,1.25949
GRB130418A    1.218     4.6     18.5        nan
GRB130427A    0.34      16.5    19          nan
GRB130427B    2.78      20.3    22.7        nan
GRB130603B    0.356     8.2     21.5        nan
GRB130606A    5.91      7.1     19          4.7244,4.6497,4.5427,4.5309,4.4660,3.4515,2.5207,2.3103
GRB130612A    2.006     1.1     21.5        nan
GRB130615A    nan       0.8     21          nan
GRB130701A    1.155     5.5     19.9        nan
GRB131011A    1.874     nan     nan         nan
GRB131030A    1.296     nan     nan         1.16
GRB131103A    0.599     5.8     20.48       nan
GRB131105A    1.686     1.3     22.4        nan
GRB131117A    4.042     1       20          nan
GRB131231A    0.642     20.2    18.5        nan
GRB140114A    2.8       nan     nan         nan
GRB140213A    1.208     5.8     19.5        nan
GRB140301A    1.416     9       23.1        nan
GRB140311A    4.95      nan     nan         nan
GRB140430A    1.601     2.5     19          nan
GRB140506A    0.889     8.8     20.9        nan
GRB140506A    0.889     nan     nan         nan
GRB140515A    6.32      nan     nan         nan
GRB140614A    4.233     3.8     21.5        nan
GRB140622A    0.959     nan     nan         nan
GRB141028A    2.332     15.4    20          2.09,1.82
GRB141031A    nan       nan     nan         nan
GRB141031A    nan       nan     nan         nan
GRB141109A    2.993     1.9     19.2        2.5,1.67
GRB141109A    2.993     nan     nan         2.5,1.67
GRB150206A    2.087     10      21.9        nan
GRB150301B    1.5169    nan     nan         nan
GRB150403A    2.06      10.8    19.1        1.76
GRB150423A    1.394     nan     nan         nan
GRB150428A    nan       nan     nan         nan
GRB150514A    0.807     28.4    19.5        nan
GRB150518A    0.256     nan     nan         nan
GRB150616A    nan       nan     nan         nan
GRB150727A    0.313     nan     nan         nan
GRB150821A    0.755     0.2     16          nan
GRB150831A    nan       nan     nan         nan
GRB150910A    1.359     nan     nan         nan
GRB150915A    1.968     3.3     23          nan
GRB151021A    2.33      0.75    18.2        1.49
GRB151027B    4.063     5       20.5        nan
GRB151029A    1.423     1       20          nan
GRB151031A    1.167     0.3     20.4        nan
GRB160117B    0.87      13.5    21          nan
GRB160203A    3.52      0.3     18          2.203
GRB160228A    1.64      nan     nan         nan
GRB160303A    nan       nan     nan         nan
GRB160314A    0.726     nan     nan         nan
GRB160410A    1.717     0.15    20.3        1.4443,1.5813
GRB160425A    0.555     nan     nan         nan
GRB160625B    1.406     30      19.1        nan
GRB160804A    0.736     22.4    21.2        nan
GRB160804A    0.736     nan     nan         nan
GRB161001A    0.891     nan     nan         nan
GRB161007A    nan       323     nan         nan
GRB161014A    2.823     11.6    21.4        nan
GRB161023A    2.710     3       17.5        2.6952,2.4055,2.4040,2.4029,2.3105,2.290,2.231,1.9267,1.2434
GRB161117A	  1.549     0.73    19          nan
