#GRB	Redshift	Ave_NH_PC	Ave_dNH_PC+	Ave_dNH_PC-
091018	0.971	0.24	+8.17E-2	-7.85E-2
091029	2.752	0.58	+0.33	-0.31
091109A	3.076	1.2	+1.1	-0.98
091208B	1.063	1.2	+0.29	-0.26
100205A	N/A	3.48E-2	+5.73E-2	-3.48E-2
100219A	4.6667	3.58E-6	+1.5	-3.58E-6
100316B	1.18	0.28	+0.43	-0.28
100316D	0.059	0.51	+1.4	-0.51
100413A	N/A	0.24	+5.34E-2	-5.02E-2
100418A	0.6235	3.39E-6	+0.12	-3.39E-6
100424A	2.465	3.3	+1.7	-1.4
100425A	1.755	1.61E-5	+0.37	-1.61E-5
100513A	4.772	1.7	+2.2	-1.7
100526A	N/A	0.13	+4.98E-2	-4.56E-2
100606A	N/A	0.22	+6.57E-2	-5.92E-2
100615A	1.398	17.4	+2.2	-2.0
100621A	0.542	2.8	+0.28	-0.27
100728B	2.106	0.63	+0.61	-0.55
100814A	1.44	0.13	+6.92E-2	-6.74E-2
100816A	0.8049	0.24	+0.18	-0.16
100823A	N/A	0.21	+8.57E-2	-7.52E-2
100901A	1.408	0.23	+0.12	-0.12
100905A	N/A	3.33E-2	+4.83E-2	-3.33E-2
101011A	N/A	0.12	+9.62E-2	-8.07E-2
101024A	N/A	2.56E-2	+3.57E-2	-2.56E-2
110128A	2.339	2.79E-6	+0.48	-2.79E-6
110312A	N/A	0.50	+0.11	-9.95E-2
110407A	N/A	3.99E-2	+5.50E-2	-3.99E-2
110709B	N/A	0.14	+2.06E-2	-1.96E-2
110808A	1.348	2.19E-9	+0.21	-2.19E-9
110818A	3.36	1.6	+0.82	-0.76
110915A	N/A	0.28	+5.77E-2	-5.37E-2
111008A	4.9898	2.4	+1.1	-1.0
111107A	2.893	1.07E-4	+0.98	-1.07E-4
111117A	N/A	0.16	+0.13	-0.10
111123A	N/A	0.18	+5.18E-2	-4.64E-2
111129A	N/A	0.19	+5.65E-2	-5.14E-2
111204A	N/A	0.15	+0.21	-0.15
111209A	0.677	0.23	+5.15E-2	-4.96E-2
111228A	0.714	0.35	+6.99E-2	-6.67E-2
120118B	2.943	6.0	+2.0	-1.7
120119A	1.728	1.3	+0.55	-0.48
120211A	N/A	4.86E-2	+7.51E-2	-4.86E-2
120224A	N/A	0.40	+6.49E-2	-6.05E-2
