GRB,Observed,Afterglow,Redshift,Trigger Time,BAT Fluence (15-150 keV) [10^-7 erg/cm^2],XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s,XRT Column Density (NH) [10^21 cm^-2],In pure sample
091018,Yes,Yes,0.971,2009:10:18T20:48:19,14,0.14420988,1.55551,Yes
091029,No,Yes,2.752,2009:10:29T03:53:22,24,0.16721793,2.82219,
091109A,No,Yes,3.076,2009:11:09T04:57:43,16,0.025873236,7.86986,
091208B,No,Yes,1.063,2009:12:08T09:49:57,33,0.110656,8.16791,Yes
100205A,Yes,Yes,NaN,2010:02:05T04:18:43,4,0.00027673416,0.546237,
100219A,Yes,Yes,4.667,2010:02:19T15:15:46,3.7,0.14046975,0.00266081,Yes
100316B,Yes,Yes,1.18,2010:03:16T08:01:36,2,0.013269003,2.58912,Yes
100316D,Yes,Yes,0.059,2010:03:16T12:44:50,3,0.08340964,4.04846,Yes
100413A,No,No,NaN,2010:04:13T17:33:28,62,0.11989782,2.79802,
100418A,Yes,Yes,0.6235,2010:04:18T21:10:08,3.4,0.0739878,0.00000416329,Yes
100424A,No,Yes,NaN,2010:04:24T16:32:42,15,0.0011673456,2.00385,Yes
100425A,Yes,Yes,1.755,2010:04:25T02:50:45,4.7,0.0435699,0.342503,Yes
100513A,No,Yes,4.772,2010:05:13T02:07:08,14,0.02210393,11.2825,
100526A,No,Yes,NaN,2010:05:26T16:26:10,25,0.03225888,1.66401,
100606A,No,No,NaN,2010:06:06T19:12:41,64,0.0029858928,1.84641,
100615A,No,No,NaN,2010:06:15T01:59:03,50,0.45264234,12.8509,
100621A,Yes,Yes,0.542,2010:06:21T03:03:32,210,0.5943417,19.2552,Yes
100728B,Yes,Yes,2.105,2010:07:28T10:31:55,17,0.021160965,3.94372,Yes
100814A,Yes,Yes,1.44,2010:08:14T03:50:11,90,1.0257732,0.787196,Yes
100816A,Yes,Yes,0.806,2010:08:16T00:37:51,20,0.032746956,2.22759,Yes
100823A,Yes,Yes,NaN,2010:08:23T17:25:35,4.1,0.008414805,2.10647,
100901A,Yes,Yes,1.408,2010:09:01T13:34:10,21,0.4044425,3.0175,Yes
100905A,No,No,NaN,2010:09:05T15:08:14,1.7,0.01731637,0.770542,
101011A,No,No,NaN,2010:10:11T16:58:35,14,0.00011574192,1.405,
101024A,No,Yes,NaN,2010:10:24T11:39:29.82,15,0.05599191,0.821563,
110128A,Yes,Yes,2.339,2011:01:28T01:44:33,7.2,0.014666366,0.0000104555,Yes
110312A,Yes,No,NaN,2011:03:12T17:55:37,8.2,0.19350084,4.10649,Yes
110407A,Yes,Yes,NaN,2011:04:07T14:06:41,17,0.013970299,0.644062,Yes
110709B,No,No,NaN,2011:07:09T21:32:39,94,0.6830208,1.83029,
110808A,Yes,Yes,1.348,2011:08:08T06:18:54,3.3,0.027400745,0.000000366861,Yes
110818A,Yes,Yes,3.36,2011:08:18T20:37:49,40,0.03665448,11.6984,Yes
110915A,No,No,NaN,2011:09:15T13:20:44,57,0.16645104,2.86217,
111008A,Yes,Yes,4.99,2011:10:08T22:12:58,53,0.29127888,14.8112,Yes
111107A,Yes,Yes,2.893,2011:11:07T00:50:24,8.8,0.019535516,3.68767,Yes
111117A,Yes,No,NaN,2011:11:17T12:13:41,1.4,0.00191547,2.28089,Yes
111123A,Yes,No,NaN,2011:11:23T18:13:21,73,0.0775464,2.24049,Yes
111129A,Yes,Yes,NaN,2011:11:29T16:18:14,1.8,0.06399237,1.87628,Yes
111204A,Yes,No,NaN,2011:12:04T13:37:28,4.7,0.0004220161,1.36526,Yes
111209A,Yes,Yes,0.677,2011:12:09T07:12:08,360,0.5651686,1.3807,Yes
