#FILE                                                	EXPTIME     	HIERARCH ESO SEQ ARM	DATE-OBS                	
GRB090313/raw/SHOOT.2009-03-15T04:34:21.980.fits    	900.0000    	UVB                 	2009-03-15T04:34:21.980 	
GRB090313/raw/SHOOT.2009-03-15T04:34:27.161.fits    	900.0000    	VIS                 	2009-03-15T04:34:27.160 	
GRB090313/raw/SHOOT.2009-03-15T04:34:49.968.fits    	900.0000000 	NIR                 	2009-03-15T04:34:49.9682	
GRB090313/raw/SHOOT.2009-03-15T04:50:58.280.fits    	900.0000    	UVB                 	2009-03-15T04:50:58.280 	
GRB090313/raw/SHOOT.2009-03-15T04:51:03.481.fits    	900.0000    	VIS                 	2009-03-15T04:51:03.480 	
GRB090313/raw/SHOOT.2009-03-15T04:51:26.188.fits    	900.0000000 	NIR                 	2009-03-15T04:51:26.1876	
GRB090313/raw/SHOOT.2009-03-15T05:07:28.131.fits    	5.0069      	UVB                 	2009-03-15T05:07:28.130 	
GRB090313/raw/SHOOT.2009-03-15T05:21:15.791.fits    	1500.0000   	VIS                 	2009-03-15T05:21:15.790 	
GRB090313/raw/SHOOT.2009-03-15T05:21:38.825.fits    	1500.0000000	NIR                 	2009-03-15T05:21:38.8250	
GRB090313/raw/SHOOT.2009-03-15T05:47:20.121.fits    	1500.0000   	VIS                 	2009-03-15T05:47:20.120 	
GRB090313/raw/SHOOT.2009-03-15T05:47:43.148.fits    	1500.0000000	NIR                 	2009-03-15T05:47:43.1481	
GRB090313/raw/SHOOT.2009-03-15T06:13:14.591.fits    	1500.0000   	VIS                 	2009-03-15T06:13:14.590 	
GRB090313/raw/SHOOT.2009-03-15T06:13:37.761.fits    	1500.0000000	NIR                 	2009-03-15T06:13:37.7614	
GRB090313/raw/SHOOT.2009-03-15T06:39:15.921.fits    	1500.0000   	VIS                 	2009-03-15T06:39:15.920 	
GRB090313/raw/SHOOT.2009-03-15T06:39:39.242.fits    	1500.0000000	NIR                 	2009-03-15T06:39:39.2421	
GRB090809/raw/SHOOT.2009-08-10T03:40:20.898.fits    	1800.0000  		UVB                 	2009-08-10T03:40:20.897 	
GRB090809/raw/SHOOT.2009-08-10T03:40:26.028.fits    	1800.0000  		VIS                 	2009-08-10T03:40:26.028 	
GRB090809/raw/SHOOT.2009-08-10T03:40:29.204.fits    	600.0000000		NIR                 	2009-08-10T03:40:29.2038	
GRB090809/raw/SHOOT.2009-08-10T04:10:52.450.fits    	600.0000000		NIR                 	2009-08-10T04:10:52.4500	
GRB090809/raw/SHOOT.2009-08-10T04:11:49.781.fits    	1800.0000  		UVB                 	2009-08-10T04:11:49.780 	
GRB090809/raw/SHOOT.2009-08-10T04:11:55.982.fits    	1800.0000  		VIS                 	2009-08-10T04:11:55.981 	
GRB090809/raw/SHOOT.2009-08-10T04:43:27.854.fits    	1800.0000  		UVB                 	2009-08-10T04:43:27.853 	
GRB090809/raw/SHOOT.2009-08-10T04:43:33.014.fits    	1800.0000  		VIS                 	2009-08-10T04:43:33.014 	
GRB090809/raw/SHOOT.2009-08-10T04:43:36.169.fits    	600.0000000		NIR                 	2009-08-10T04:43:36.1693	
GRB090809/raw/SHOOT.2009-08-10T05:13:57.730.fits    	600.0000000		NIR                 	2009-08-10T05:13:57.7294	
GRB090809/raw/SHOOT.2009-08-10T05:14:55.165.fits    	1800.0000  		UVB                 	2009-08-10T05:14:55.165 	
GRB090809/raw/SHOOT.2009-08-10T05:15:01.386.fits    	1800.0000  		VIS                 	2009-08-10T05:15:01.386 	
GRB090926A/raw/SHOOT.2009-09-27T02:23:05.956.fits   	600.0000    	UVB                 	2009-09-27T02:23:05.955 	
GRB090926A/raw/SHOOT.2009-09-27T02:23:11.096.fits   	600.0000    	VIS                 	2009-09-27T02:23:11.096 	
GRB090926A/raw/SHOOT.2009-09-27T02:23:14.372.fits   	600.0000000 	NIR                 	2009-09-27T02:23:14.3718	
GRB090926A/raw/SHOOT.2009-09-27T02:33:33.868.fits   	600.0000000 	NIR                 	2009-09-27T02:33:33.8681	
GRB090926A/raw/SHOOT.2009-09-27T02:34:34.173.fits   	600.0000    	UVB                 	2009-09-27T02:34:34.173 	
GRB090926A/raw/SHOOT.2009-09-27T02:34:40.374.fits   	600.0000    	VIS                 	2009-09-27T02:34:40.374 	
GRB090926A/raw/SHOOT.2009-09-27T02:46:10.642.fits   	600.0000    	UVB                 	2009-09-27T02:46:10.642 	
GRB090926A/raw/SHOOT.2009-09-27T02:46:15.803.fits   	600.0000    	VIS                 	2009-09-27T02:46:15.802 	
GRB090926A/raw/SHOOT.2009-09-27T02:46:19.009.fits   	600.0000000 	NIR                 	2009-09-27T02:46:19.0089	
GRB090926A/raw/SHOOT.2009-09-27T02:56:38.544.fits   	600.0000000 	NIR                 	2009-09-27T02:56:38.5440	
GRB090926A/raw/SHOOT.2009-09-27T02:57:38.660.fits   	600.0000    	UVB                 	2009-09-27T02:57:38.659 	
GRB090926A/raw/SHOOT.2009-09-27T02:57:44.840.fits   	600.0000    	VIS                 	2009-09-27T02:57:44.840 	
GRB091018/raw/SHOOT.2009-10-18T23:58:55.066.fits    	600.0000    	UVB                 	2009-10-18T23:58:55.065 	
GRB091018/raw/SHOOT.2009-10-18T23:59:00.227.fits    	600.0000    	VIS                 	2009-10-18T23:59:00.226 	
GRB091018/raw/SHOOT.2009-10-18T23:59:03.289.fits    	600.0000000 	NIR                 	2009-10-18T23:59:03.2883	
GRB091018/raw/SHOOT.2009-10-19T00:10:30.845.fits    	600.0000    	UVB                 	2009-10-19T00:10:30.845 	
GRB091018/raw/SHOOT.2009-10-19T00:10:36.066.fits    	600.0000    	VIS                 	2009-10-19T00:10:36.065 	
GRB091018/raw/SHOOT.2009-10-19T00:10:39.208.fits    	600.0000000 	NIR                 	2009-10-19T00:10:39.2078	
GRB091018/raw/SHOOT.2009-10-19T00:22:01.064.fits    	600.0000    	UVB                 	2009-10-19T00:22:01.064 	
GRB091018/raw/SHOOT.2009-10-19T00:22:06.284.fits    	600.0000    	VIS                 	2009-10-19T00:22:06.284 	
GRB091018/raw/SHOOT.2009-10-19T00:22:09.141.fits    	600.0000000 	NIR                 	2009-10-19T00:22:09.1409	
GRB091018/raw/SHOOT.2009-10-19T00:33:37.833.fits    	600.0000    	UVB                 	2009-10-19T00:33:37.833 	
GRB091018/raw/SHOOT.2009-10-19T00:33:43.023.fits    	600.0000    	VIS                 	2009-10-19T00:33:43.023 	
GRB091018/raw/SHOOT.2009-10-19T00:33:46.391.fits    	600.0000000 	NIR                 	2009-10-19T00:33:46.3914	
GRB130427A/raw/XSHOO.2013-04-28T00:22:54.846.fits   	600.0000    	UVB                 	2013-04-28T00:22:54.845 	
GRB130427A/raw/XSHOO.2013-04-28T00:22:59.966.fits   	600.0000    	VIS                 	2013-04-28T00:22:59.966 	
GRB130427A/raw/XSHOO.2013-04-28T00:23:03.163.fits   	600.0000000 	NIR                 	2013-04-28T00:23:03.1627	
GRB130427A/raw/XSHOO.2013-04-28T00:34:30.981.fits   	600.0000    	UVB                 	2013-04-28T00:34:30.981 	
GRB130427A/raw/XSHOO.2013-04-28T00:34:36.162.fits   	600.0000    	VIS                 	2013-04-28T00:34:36.161 	
GRB130427A/raw/XSHOO.2013-04-28T00:34:39.044.fits   	600.0000000 	NIR                 	2013-04-28T00:34:39.0440	
GRB130427B/raw/XSHOO.2013-04-28T08:36:14.693.fits   	267.1827   		UVB                 	2013-04-28T08:36:14.692 		
GRB130427B/raw/XSHOO.2013-04-28T08:36:19.854.fits   	263.2126   		VIS                 	2013-04-28T08:36:19.853 		
GRB130427B/raw/XSHOO.2013-04-28T09:48:38.542.fits   	600.0000    	UVB                 	2013-04-28T09:48:38.542 	
GRB130427B/raw/XSHOO.2013-04-28T09:48:43.672.fits   	600.0000    	VIS                 	2013-04-28T09:48:43.672 	
GRB130427B/raw/XSHOO.2013-04-28T09:48:46.482.fits   	600.0000000 	NIR                 	2013-04-28T09:48:46.4822	
GRB130427B/raw/XSHOO.2013-04-28T10:00:15.669.fits   	600.0000    	UVB                 	2013-04-28T10:00:15.668 	
GRB130427B/raw/XSHOO.2013-04-28T10:00:20.849.fits   	600.0000    	VIS                 	2013-04-28T10:00:20.849 	
GRB130427B/raw/XSHOO.2013-04-28T10:00:23.690.fits   	600.0000000 	NIR                 	2013-04-28T10:00:23.6906	
GRB130603B/raw/XSHOO.2013-06-04T00:00:28.463.fits   	600.0000    	UVB                 	2013-06-04T00:00:28.462 	
GRB130603B/raw/XSHOO.2013-06-04T00:00:33.613.fits   	600.0000    	VIS                 	2013-06-04T00:00:33.612 	
GRB130603B/raw/XSHOO.2013-06-04T00:00:36.758.fits   	600.0000000 	NIR                 	2013-06-04T00:00:36.7583	
GRB130603B/raw/XSHOO.2013-06-04T00:12:04.162.fits   	600.0000    	UVB                 	2013-06-04T00:12:04.162 	
